"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","15","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","fourthCount","fourthCount()",""
"passed","Sat May 25 20:57:14 GMT 2024","Sat May 25 20:57:14 GMT 2024","22","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstCount","firstCount()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","305","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstInsert","firstInsert()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","22","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","thirdCount","thirdCount()",""
"passed","Sat May 25 20:57:14 GMT 2024","Sat May 25 20:57:15 GMT 2024","722","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","emptyList","emptyList()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","36","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","updateWithWrongId","updateWithWrongId()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","71","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondList","secondList()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","27","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","fourthList","fourthList()",""
"passed","Sat May 25 20:57:15 GMT 2024","Sat May 25 20:57:16 GMT 2024","176","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","insertWithoutFields","insertWithoutFields()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","33","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","updateWithoutFields","updateWithoutFields()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","22","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstDelete","firstDelete()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","67","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstUpdate","firstUpdate()",""
"passed","Sat May 25 20:57:15 GMT 2024","Sat May 25 20:57:15 GMT 2024","129","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstList","firstList()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","32","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstGet","firstGet()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","36","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","thirdList","thirdList()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","16","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondCount","secondCount()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","29","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","getWithWrongId","getWithWrongId()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","31","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","deleteWithWrongId","deleteWithWrongId()",""
"passed","Sat May 25 20:57:13 GMT 2024","Sat May 25 20:57:14 GMT 2024","1859","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","emptyCount","emptyCount()",""
"passed","Sat May 25 20:57:16 GMT 2024","Sat May 25 20:57:16 GMT 2024","17","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondGet","secondGet()",""
